"cid","organism","testtype","route","dose","effect","reference","cmpdname","...9"
"40585","rat","LD50","skin","800 mg/kg","NULL","Journal of Environmental Pathology and Toxicology., 2(3)(751), 1979","Deltamethrin",NA
"40585","mouse","LD50","oral","20 mg/kg","BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD; KIDNEY, URETER, AND BLADDER: URINE VOLUME INCREASED","Journal of Environmental Biology., 12(45), 1991","Deltamethrin",NA
"40585","mouse","LD50","intraperitoneal","10 mg/kg","NULL","EHP, Environmental Health Perspectives., 21(285), 1977 [PMID:612453]","Deltamethrin",NA
"40585","duck","LD50","oral","4640 mg/kg","NULL","Pesticide Manual., 9(232), 1991","Deltamethrin",NA
"4130","rat","LD50","skin","67 mg/kg","NULL","World Review of Pest Control., 4(36), 1965","Methyl parathion",NA
"4130","rat","LD50","subcutaneous","6 mg/kg","NULL","Journal of Economic Entomology., 50(356), 1957","Methyl parathion",NA
"4130","rat","LD50","intravenous","9 mg/kg","NULL","National Technical Information Service., PB277-077","Methyl parathion",NA
"4130","rat","LD50","unreported","10 mg/kg","NULL","Nippon Yakurigaku Zasshi.  Japanese Journal of Pharmacology., 74(41P), 1978","Methyl parathion",NA
"4130","mouse","LD50","subcutaneous","18 mg/kg","NULL","Bratislavske Lekarske Listy., 38(151), 1958","Methyl parathion",NA
"4130","mouse","LD50","intracrebral","47 mg/kg","NULL","Pesticide Biochemistry and Physiology., 8(302), 1978","Methyl parathion",NA
"4130","mouse","LD50","unreported","23 mg/kg","NULL","Bulletin of the World Health Organization., 44(31), 1971 [PMID:5315349]","Methyl parathion",NA
"4130","dog","LD50","oral","90 mg/kg","GASTROINTESTINAL: NAUSEA OR VOMITING","Proceedings of the European Society of Toxicology., 16(273), 1975","Methyl parathion",NA
"4130","rabbit","LD50","oral","420 mg/kg","NULL","National Technical Information Service., PB241-840","Methyl parathion",NA
"4130","rabbit","LD50","skin","300 mg/kg","NULL","Quarterly Bulletin--Association of Food and Drug Officials of the United States., 16(3), 1952","Methyl parathion",NA
"4130","guinea pig","LD50","oral","1270 mg/kg","NULL","National Technical Information Service., PB241-840","Methyl parathion",NA
"4130","guinea pig","LD50","intravenous","50 mg/kg","NULL","National Technical Information Service., PB241-840","Methyl parathion",NA
"4130","duck","LD50","oral","10 mg/kg","NULL","Down to Earth., 35(25), 1979","Methyl parathion",NA
"4130","duck","LD50","skin","54 mg/kg","NULL","Toxicology and Applied Pharmacology., 47(451), 1979 [PMID:442090]","Methyl parathion",NA
"4130","mammal (species unspecified)","LD50","oral","57 mg/kg","BEHAVIORAL: TREMOR; BEHAVIORAL: ATAXIA; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","National Technical Information Service., PB288-416","Methyl parathion",NA
"4130","mammal (species unspecified)","LD50","unreported","25 mg/kg","NULL","Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(327), 1971","Methyl parathion",NA
"4130","bird - wild","LD50","oral","5 mg/kg","NULL","Journal de Toxicologie Clinique et Experimentale., 6(3)(175), 1986","Methyl parathion",NA
"4130","mouse","LD50","skin","1200 mg/kg","NULL","Journal of Toxicology and Environmental Health., 9(491), 1982 [PMID:7097799]","Methyl parathion",NA
"41381","dog","LD50","oral","200 mg/kg","NULL","Pesticide Manual., 9(340), 1991","Ethalfluralin",NA
"41381","cat","LD50","oral","200 mg/kg","NULL","Pesticide Manual., 9(340), 1991","Ethalfluralin",NA
"41381","quail","LD50","oral","200 mg/kg","NULL","Pesticide Manual., 9(340), 1991","Ethalfluralin",NA
"41381","duck","LD50","oral","200 mg/kg","NULL","Pesticide Manual., 9(340), 1991","Ethalfluralin",NA
"41428","rat","LD50","oral","630 mg/kg","NULL","Farm Chemicals Handbook., -(C310), 1991","Triclopyr",NA
"41428","rabbit","LD50","oral","550 mg/kg","NULL","Pesticide Manual., 9(844), 1991","Triclopyr",NA
"41428","guinea pig","LD50","oral","310 mg/kg","NULL","Pesticide Manual., 9(844), 1991","Triclopyr",NA
"41428","duck","LD50","oral","1693 mg/kg","NULL","Down to Earth., 35(25), 1979","Triclopyr",NA
"4169","rat","LD50","oral","2200 mg/kg","NULL","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 14(103), 1989","Metolachlor",NA
"4169","rat","LD50","skin","3170 mg/kg","NULL","Materialy Sesji Naukowej Instytutu Ochrony Roslin, 18(341), 1979","Metolachlor",NA
"4169","rat","LD50","intraperitoneal","620 mg/kg","NULL","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 14(103), 1989","Metolachlor",NA
"4169","rat","LD50","unreported","3170 mg/kg","NULL","Agrokhimiya. Agricultural Chemistry., (5)(138), 1980","Metolachlor",NA
"4169","mouse","LD50","oral","1150 mg/kg","NULL","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 14(103), 1989","Metolachlor",NA
"4169","mouse","LD50","intraperitoneal","410 mg/kg","NULL","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 14(103), 1989","Metolachlor",NA
"4169","mouse","LD50","subcutaneous","2400 mg/kg","NULL","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 14(103), 1989","Metolachlor",NA
"4169","duck","LD50","oral","2510 mg/kg","NULL","Farm Chemicals Handbook., -(C203), 1991","Metolachlor",NA
"42586","rat","LD50","oral","566 mg/kg","NULL","Journal of Hygiene, Epidemiology, Microbiology, and Immunology., 35(375), 1991 [PMID:1804868]","Metalaxyl",NA
"42586","rat","LD50","skin","3100 mg/kg","NULL","Pesticide Manual., 9(554), 1991","Metalaxyl",NA
"43079","dog","LD50","oral","500 mg/kg","NULL","Pesticide Manual., 9(418), 1991","Fluridone",NA
"43079","cat","LD50","oral","250 mg/kg","NULL","Pesticide Manual., 9(418), 1991","Fluridone",NA
"43079","rabbit","LD50","skin","500 mg/kg","NULL","Pesticide Manual., 9(418), 1991","Fluridone",NA
"43226","rat","LD50","oral","2500 mg/kg","NULL","Defense des Vegetaux., 34(17), 1980","Fenarimol",NA
"43226","mouse","LD50","oral","4500 mg/kg","NULL","Defense des Vegetaux., 34(17), 1980","Fenarimol",NA
"43226","dog","LD50","oral","200 mg/kg","NULL","Pesticide Manual., 9(362), 1991","Fenarimol",NA
"43226","bird - wild","LD50","oral","200 mg/kg","NULL","Pesticide Manual., 9(362), 1991","Fenarimol",NA
"43234","rat","LD50","oral","1517 mg/kg","NULL","Proceedings-British Crop Protection Conference-Pests and Diseases., -(508), 1979","Propiconazole",NA
"44073","rat","LD50","oral","1370 mg/kg","NULL","Pesticide Manual., 9(6), 1991","Acifluorfen",NA
"44073","mouse","LD50","oral","1370 mg/kg","NULL","Pesticide Manual., 9(6), 1991","Acifluorfen",NA
"44073","rabbit","LD50","skin","3680 mg/kg","NULL","Pesticide Manual., 9(6), 1991","Acifluorfen",NA
"44073","quail","LD50","oral","325 mg/kg","NULL","Pesticide Manual., 9(6), 1991","Acifluorfen",NA
"44073","duck","LD50","oral","2821 mg/kg","NULL","Pesticide Manual., 9(6), 1991","Acifluorfen",NA
"4420","rat","LD50","oral","92 mg/kg","BEHAVIORAL: TREMOR; GASTROINTESTINAL: CHANGES IN STRUCTURE OR FUNCTION OF SALIVARY GLANDS; GASTROINTESTINAL: HYPERMOTILITY, DIARRHEA","Acute Toxicity Data. Journal of the American College of Toxicology, Part B., 1(90), 1990","Naled",NA
"4420","rat","LD50","skin","800 mg/kg","NULL","World Review of Pest Control., 9(119), 1970","Naled",NA
"4420","rat","LD50","intraperitoneal","35 mg/kg","NULL","Bulletin of Environmental Contamination and Toxicology., 19(113), 1978 [PMID:75750]","Naled",NA
"4420","mouse","LD50","oral","222 mg/kg","SENSE ORGANS AND SPECIAL SENSES: OTHER: EYE; BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD; GASTROINTESTINAL: CHANGES IN STRUCTURE OR FUNCTION OF SALIVARY GLANDS","Bulletin of Environmental Contamination and Toxicology., 19(113), 1978 [PMID:75750]","Naled",NA
"4420","mouse","LD50","skin","600 mg/kg","NULL","Japan Pesticide Information., (8)(24), 1971","Naled",NA
"4420","mouse","LD50","intraperitoneal","84 mg/kg","NULL","Toxicometric Parameters of Industrial Toxic Chemicals Under Single Exposure, Izmerov, N.F., et al., Moscow, Centre of International Projects, GKNT, 1982, -(56), 1982","Naled",NA
"4420","rabbit","LD50","skin","1100 mg/kg","NULL","Pesticide Index, Frear, E.H., ed., State College, PA, College Science Pub., 1969, 5(161), 1976","Naled",NA
"4420","duck","LD50","oral","52 mg/kg","NULL","Down to Earth., 35(25), 1979","Naled",NA
"4420","mammal (species unspecified)","LD50","oral","430 mg/kg","NULL","Herba Polonica., 21(53), 1975","Naled",NA
"4618","rat","LD50","oral","30 mg/kg","NULL","Naunyn-Schmiedeberg's Archiv fuer Experimentelle Pathologie und Pharmakologie., 234(352), 1958 [PMID:13600403]","Oxydemeton-methyl",NA
"4618","rat","LD50","skin","100 mg/kg","NULL","World Review of Pest Control., 9(119), 1970","Oxydemeton-methyl",NA
"4618","rat","LD50","intraperitoneal","20 mg/kg","NULL","Guide to the Chemicals Used in Crop Protection., 6(385), 1973","Oxydemeton-methyl",NA
"4618","rat","LD50","intravenous","47 mg/kg","BEHAVIORAL: GENERAL ANESTHETIC","Biochemical Journal., 67(187), 1957 [PMID:13471532]","Oxydemeton-methyl",NA
"4618","rat","LD50","unreported","65 mg/kg","NULL","Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(348), 1971","Oxydemeton-methyl",NA
"4618","mouse","LD50","oral","10 mg/kg","NULL","Organophosphorus Pesticides: Organic and Biological Chemistry, Eto, M., Cleveland, OH, CRC Press, Inc.,  1974, -(197), 1974","Oxydemeton-methyl",NA
"4618","mouse","LD50","intraperitoneal","8 mg/kg","NULL","Toxicology and Applied Pharmacology., 4(621), 1962 [PMID:13888059]","Oxydemeton-methyl",NA
"4618","guinea pig","LD50","oral","120 mg/kg","NULL","Pesticide Chemicals Official Compendium, Association of the American Pesticide Control Officials, Inc., 1966., -(721), 1966","Oxydemeton-methyl",NA
"4618","guinea pig","LD50","intraperitoneal","30 mg/kg","NULL","Toxicology and Applied Pharmacology., 4(621), 1962 [PMID:13888059]","Oxydemeton-methyl",NA
"4618","pigeon","LD50","oral","15 mg/kg","NULL","Toxicology and Applied Pharmacology., 20(57), 1971 [PMID:5110827]","Oxydemeton-methyl",NA
"4618","chicken","LD50","oral","80 mg/kg","BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 6(147), 1964","Oxydemeton-methyl",NA
"4618","quail","LD50","oral","84 mg/kg","NULL","Toxicology and Applied Pharmacology., 20(57), 1971 [PMID:5110827]","Oxydemeton-methyl",NA
"4618","duck","LD50","oral","54 mg/kg","NULL","Toxicology and Applied Pharmacology., 20(57), 1971 [PMID:5110827]","Oxydemeton-methyl",NA
"4618","bird - wild","LD50","oral","42 mg/kg","NULL","Toxicology and Applied Pharmacology., 20(57), 1971 [PMID:5110827]","Oxydemeton-methyl",NA
"47326","rat","LD50","skin","870 mg/kg","NULL","Pesticide Manual., 9(377), 1991","Fenpropathrin",NA
"47326","rat","LD50","intraperitoneal","180 mg/kg","NULL","Japan Pesticide Information., (38)(21), 1981","Fenpropathrin",NA
"47326","rat","LD50","subcutaneous","900 mg/kg","NULL","Japan Pesticide Information., (38)(21), 1981","Fenpropathrin",NA
"47326","mouse","LD50","oral","58 mg/kg","NULL","Japan Pesticide Information., (38)(21), 1981","Fenpropathrin",NA
"47326","mouse","LD50","skin","740 mg/kg","NULL","Japan Pesticide Information., (38)(21), 1981","Fenpropathrin",NA
"47326","mouse","LD50","intraperitoneal","210 mg/kg","NULL","Japan Pesticide Information., (38)(21), 1981","Fenpropathrin",NA
"47326","mouse","LD50","subcutaneous","900 mg/kg","NULL","Japan Pesticide Information., (38)(21), 1981","Fenpropathrin",NA
"47326","rabbit","LD50","oral","510 mg/kg","NULL","Japan Pesticide Information., (38)(21), 1981","Fenpropathrin",NA
"47326","duck","LD50","oral","1089 mg/kg","NULL","Pesticide Manual., 9(377), 1991","Fenpropathrin",NA
"47326","rat","LD50","oral","74 mg/kg","NULL","JAT, Journal of Applied Toxicology., 17(353), 1997 [PMID:9418941]","Fenpropathrin",NA
"47326","rat","LD50","oral","18 mg/kg","NULL","Pesticide Science., 8(579), 1977","Fenpropathrin",NA
"47491","rat","LD50","oral","9366 mg/kg","NULL","Gigiena i Sanitariya.  For English translation, see HYSAAV., 52(10)(17), 1987","Chlorsulfuron",NA
"47491","rat","LD50","oral","5545 mg/kg","NULL","Journal of Agricultural and Food Chemistry., 29(416), 1981","Chlorsulfuron",NA
"47491","dog","LD","oral","2500 mg/kg","BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); GASTROINTESTINAL: HYPERMOTILITY, DIARRHEA","National Technical Information Service., OTS0570808","Chlorsulfuron",NA
"47491","rabbit","LD50","skin","3400 mg/kg","NULL","Farm Chemicals Handbook., -(C154), 1991","Chlorsulfuron",NA
"47866","rat","LD50","oral","3387 mg/kg","NULL","Pesticide Manual., 9(217), 1991","Cyromazine",NA
"47866","rat","LD50","skin","3100 mg/kg","NULL","Pesticide Manual., 9(217), 1991","Cyromazine",NA
"47866","quail","LD50","oral","1785 mg/kg","NULL","Pesticide Manual., 9(217), 1991","Cyromazine",NA
"47866","domestic animals - goat/sheep","LDLo","oral","500 mg/kg","PERIPHERAL NERVE AND SENSATION: FASCICULATIONS; BEHAVIORAL: ATAXIA","National Technical Information Service., OTS0538005","Cyromazine",NA
"4790","rat","LD50","oral","1 mg/kg","NULL","Down to Earth., 35(25), 1979","Phorate",NA
"4790","rabbit","LD50","skin","99 mg/kg","NULL","Farm Chemicals Handbook., -(C236), 1991","Phorate",NA
"4790","guinea pig","LD50","skin","20 mg/kg","NULL","Pesticide Chemicals Official Compendium, Association of the American Pesticide Control Officials, Inc., 1966., -(895), 1966","Phorate",NA
"4790","quail","LD50","oral","7 mg/kg","BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD; BEHAVIORAL: ATAXIA; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Ecotoxicology and Environmental Safety., 8(551), 1984 [PMID:6510327]","Phorate",NA
"4790","duck","LD50","skin","203 mg/kg","NULL","Toxicology and Applied Pharmacology., 47(451), 1979 [PMID:442090]","Phorate",NA
"4790","bird - wild","LD50","oral","1 mg/kg","NULL","Toxicology and Applied Pharmacology., 21(315), 1972 [PMID:5027965]","Phorate",NA
"4929","rat","LD50","oral","2100 mg/kg","AUTONOMIC NERVOUS SYSTEM: OTHER (DIRECT) PARASYMPATHOMIMETIC; LUNGS, THORAX, OR RESPIRATION: OTHER CHANGES; GASTROINTESTINAL: OTHER CHANGES","Gigiena i Sanitariya.  For English translation, see HYSAAV., 34(3)(94), 1969","Prometryn",NA
"4929","rat","LD50","skin","3100 mg/kg","NULL","Pesticide Manual., 9(711), 1991","Prometryn",NA
"4929","mouse","LD50","oral","2138 mg/kg","BEHAVIORAL: MUSCLE WEAKNESS; LUNGS, THORAX, OR RESPIRATION: RESPIRATORY DEPRESSION; KIDNEY, URETER, AND BLADDER: URINE VOLUME INCREASED","Gigiena i Sanitariya.  For English translation, see HYSAAV., 33(2)(12), 1968","Prometryn",NA
"4929","rabbit","LD50","skin","3100 mg/kg","NULL","Farm Chemicals Handbook., -(C250), 1991","Prometryn",NA
"4929","mammal (species unspecified)","LD50","unreported","1800 mg/kg","NULL","Gigiena i Sanitariya.  For English translation, see HYSAAV., 44(6)(81), 1979","Prometryn",NA
"4933","rat","LD50","oral","367 mg/kg","NULL","Khigiena i Zdraveopazvane.  Hygiene and Sanitation., 27(451), 1984","Propanil",NA
"4933","rat","LD50","unreported","1300 mg/kg","NULL","Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(124), 1971","Propanil",NA
"4933","mouse","LD50","oral","360 mg/kg","NULL","Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases., 21(12)(30), 1977","Propanil",NA
"4933","dog","LD50","oral","1217 mg/kg","BRAIN AND COVERINGS: RECORDINGS FROM SPECIFIC AREAS OF CNS","Toxicology and Applied Pharmacology., 23(650), 1972 [PMID:4674812]","Propanil",NA
"4933","rabbit","LD50","skin","4830 mg/kg","NULL","Agrochemicals Handbook, with updates, Hartley, D., and H. Kidd, eds., Nottingham, Royal Soc of Chemistry, 1983-86, A343(1983)","Propanil",NA
"4933","rabbit","LD50","unreported","500 mg/kg","NULL","Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(124), 1971","Propanil",NA
"4933","mammal (species unspecified)","LD50","oral","2527 mg/kg","BEHAVIORAL: ALTERED SLEEP TIME (INCLUDING CHANGE IN RIGHTING REFLEX); BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); LUNGS, THORAX, OR RESPIRATION: DYSPNEA","National Technical Information Service., PB288-416","Propanil",NA
"4936","rat","LD50","oral","1480 mg/kg","NULL","Toxicology and Applied Pharmacology., 14(515), 1969 [PMID:5787520]","Propargite",NA
"4936","rat","LD50","skin","250 mg/kg","NULL","World Review of Pest Control., 9(119), 1970","Propargite",NA
"4936","mouse","LD50","unreported","780 mg/kg","NULL","Tsitologiya i Genetika.  Cytology and Genetics.  For English translation, see CYGEDX., 16(1)(45), 1982","Propargite",NA
"4936","rabbit","LD50","skin","10300 mg/kg","NULL","Agrochemicals Handbook, with updates, Hartley, D., and H. Kidd, eds., Nottingham, Royal Soc of Chemistry, 1983-86, A589(1985)","Propargite",NA
"4937","rat","LD50","oral","3840 mg/kg","NULL","Toxicometric Parameters of Industrial Toxic Chemicals Under Single Exposure, Izmerov, N.F., et al., Moscow, Centre of International Projects, GKNT, 1982, -(35), 1982","Propazine",NA
"4937","rat","LD50","skin","3100 mg/kg","NULL","Pesticide Manual., 9(721), 1991","Propazine",NA
"4937","rat","LD50","subcutaneous","395 mg/kg","NULL","Farmakologiya i Toksikologiya, 42(163), 1979 [PMID:437085]","Propazine",NA
"4937","mouse","LD50","oral","3180 mg/kg","NULL","Toxicometric Parameters of Industrial Toxic Chemicals Under Single Exposure, Izmerov, N.F., et al., Moscow, Centre of International Projects, GKNT, 1982, -(35), 1982","Propazine",NA
"4937","rabbit","LD50","skin","10200 mg/kg","NULL","Ciba-Geigy Toxicology Data/Indexes., -(-), 1977","Propazine",NA
"4937","guinea pig","LD50","oral","1200 mg/kg","NULL","Toxicometric Parameters of Industrial Toxic Chemicals Under Single Exposure, Izmerov, N.F., et al., Moscow, Centre of International Projects, GKNT, 1982, -(35), 1982","Propazine",NA
"50367","rat","LD50","oral","2198 mg/kg","NULL","Pesticide Manual., 9(105), 1991","Buprofezin",NA
"50465","rat","LD50","oral","2405 mg/kg","NULL","Agrochemicals Handbook, with updates, Hartley, D., and H. Kidd, eds., Nottingham, Royal Soc of Chemistry, 1983-86, A791(1986)","Fluroxypyr",NA
"50465","rat","LD50","intraperitoneal","458 mg/kg","NULL","Proceedings of the British Crop Protection Conference - Weeds., -(939), 1985","Fluroxypyr",NA
"5125","rat","LD50","skin","168 mg/kg","NULL","World Review of Pest Control., 9(119), 1970","Tribufos",NA
"5125","rat","LD50","intraperitoneal","210 mg/kg","BEHAVIORAL: REGIDITY; BEHAVIORAL: IRRITABILITY; GASTROINTESTINAL: CHANGES IN STRUCTURE OR FUNCTION OF SALIVARY GLANDS","AMA Archives of Industrial Health., 20(161), 1959","Tribufos",NA
"5125","mouse","LD50","oral","77 mg/kg","NULL","Prehled Prumyslove Toxikologie; Organicke Latky, Marhold, J., Prague, Czechoslovakia, Avicenum, 1986, -(1188), 1986","Tribufos",NA
"5125","mouse","LD50","intraperitoneal","285 mg/kg","NULL","Biochemical Pharmacology., 12(73), 1963 [PMID:14019076]","Tribufos",NA
"5125","rabbit","LD50","oral","242 mg/kg","SENSE ORGANS AND SPECIAL SENSES: LACRIMATION: EYE; BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD; KIDNEY, URETER, AND BLADDER: INCONTINENCE","Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases., 11(4)(11), 1967","Tribufos",NA
"5125","rabbit","LD50","skin","97 mg/kg","NULL","Toxicometric Parameters of Industrial Toxic Chemicals Under Single Exposure, Izmerov, N.F., et al., Moscow, Centre of International Projects, GKNT, 1982, -(44), 1982","Tribufos",NA
"5125","guinea pig","LD50","oral","140 mg/kg","NULL","Toxicometric Parameters of Industrial Toxic Chemicals Under Single Exposure, Izmerov, N.F., et al., Moscow, Centre of International Projects, GKNT, 1982, -(44), 1982","Tribufos",NA
"5125","guinea pig","LD50","intraperitoneal","150 mg/kg","BEHAVIORAL: REGIDITY; BEHAVIORAL: IRRITABILITY; GASTROINTESTINAL: CHANGES IN STRUCTURE OR FUNCTION OF SALIVARY GLANDS","AMA Archives of Industrial Health., 20(161), 1959","Tribufos",NA
"5125","mammal (species unspecified)","LD50","unreported","170 mg/kg","NULL","Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(376), 1971","Tribufos",NA
"5125","rat","LD50","oral","150 mg/kg","NULL","Toxicology and Applied Pharmacology., 14(515), 1969 [PMID:5787520]","Tribufos",NA
"51556","rat","LD50","oral","1250 mg/kg","NULL","Pesticide Manual., 9(433), 1991","Fomesafen",NA
"51605","rat","LD50","oral","16800 mg/kg","NULL","Farm Chemicals Handbook., -(C137), 1991","Fenoxycarb",NA
"516902","women","TDLo","oral","800 mg/kg","LUNGS, THORAX, OR RESPIRATION: OTHER CHANGES; BLOOD: OTHER HEMOLYSIS WITH OR WITHOUT ANEMIA; BLOOD: METHEMOGLOBINEMIA-CARBOXYHEMOGLOBIN","Toxicology of Drugs and Chemicals, Deichmann, W.B., New York, Academic Press, Inc., 1969, -(539), 1969","Sodium chlorate",NA
"516902","man","TDLo","oral","286 mg/kg","LUNGS, THORAX, OR RESPIRATION: CYANOSIS; BLOOD: CHANGES IN CELL COUNT (UNSPECIFIED); BLOOD: METHEMOGLOBINEMIA-CARBOXYHEMOGLOBIN","Clinical Toxicology., 15(185), 1979 [PMID:509884]","Sodium chlorate",NA
"516902","human","LDLo","unreported","214 mg/kg","NULL","Guide to the Chemicals Used in Crop Protection., 6(461), 1973","Sodium chlorate",NA
"516902","child","LD50","unreported","185 mg/kg","NULL","Guide to the Chemicals Used in Crop Protection., 6(461), 1973","Sodium chlorate",NA
"516902","rat","LD50","oral","1200 mg/kg","NULL","Pharmaceutical Journal., 185(361), 1960","Sodium chlorate",NA
"516902","mouse","LD50","oral","8350 mg/kg","NULL","Uzbekskii Biologicheskii Zhurnal.  Uzbek Biological Journal., (1)(40), 1986","Sodium chlorate",NA
"516902","mouse","LD50","intraperitoneal","596 mg/kg","NULL","Comptes Rendus Hebdomadaires des Seances, Academie des Sciences., 257(791), 1963","Sodium chlorate",NA
"516902","dog","LDLo","oral","700 mg/kg","NULL","Abdernalden's Handbuch der Biologischen Arbeitsmethoden., 4(1289), 1935","Sodium chlorate",NA
"516902","cat","LDLo","oral","1350 mg/kg","NULL","Pesticide Chemicals Official Compendium, Association of the American Pesticide Control Officials, Inc., 1966., -(1013), 1966","Sodium chlorate",NA
"516902","rabbit","LD50","oral","7200 mg/kg","NULL","Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases., 31(1)(49), 1987","Sodium chlorate",NA
"516902","rat","LD50","oral","4330 mg/kg","NULL","Farm Chemicals Handbook., -(C244), 1991","Sodium chlorate",NA
"5216","rat","LD50","oral","971 mg/kg","NULL","Fundamental and Applied Toxicology., 7(299), 1986","Simazine",NA
"5216","mouse","LD50","intravenous","100 mg/kg","NULL","U.S. Army Armament Research & Development Command, Chemical Systems Laboratory, NIOSH Exchange Chemicals., NX#04003","Simazine",NA
"5216","rat","LD50","unreported","1390 mg/kg","NULL","Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases., 7(5)(54), 1963","Simazine",NA
"5216","rabbit","LD50","skin","10200 mg/kg","NULL","Yakkyoku.  Pharmacy., 37(427), 1986","Simazine",NA
"5216","mammal (species unspecified)","LD50","oral","2014 mg/kg","BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE CONTRACTION OR SPASTICITY); SKIN AND APPENDAGES (SKIN): HAIR: OTHER","National Technical Information Service., PB288-416","Simazine",NA
"5216","mammal (species unspecified)","LD50","unreported","1400 mg/kg","NULL","Gigiena i Sanitariya.  For English translation, see HYSAAV., 44(6)(81), 1979","Simazine",NA
"5281875","rat","LD50","oral","1131 mg/kg","NULL","Farm Chemicals Handbook., -(C167), 1991","Hydramethylnon",NA
"5281875","quail","LD50","oral","1828 mg/kg","NULL","Farm Chemicals Handbook., -(C167), 1991","Hydramethylnon",NA
"5281875","duck","LD50","oral","2510 mg/kg","NULL","Pesticide Manual., 9(475), 1991","Hydramethylnon",NA
"5284484","mammal (species unspecified)","LD50","unreported","3290 mg/kg","NULL","Gigiena i Sanitariya.  For English translation, see HYSAAV., 45(5)(29), 1980","Zineb",NA
"5284484","rat","LD50","oral","2850 mg/kg","NULL","Vrachebnoe Delo.  Medical Practice., (9)(130), 1975 [PMID:54994]","Zineb",NA
"5284484","rat","LD50","unreported","3250 mg/kg","NULL","Environmental Quality and Safety, Supplement., 3(618), 1975 [PMID:1063688]","Zineb",NA
"5284484","mouse","LD50","oral","2630 mg/kg","NULL","Veterinariya.  Veterinary Science., 56(6)(59), 1980","Zineb",NA
"5284484","rabbit","LD50","oral","620 mg/kg","NULL","Veterinariya.  Veterinary Science., 56(6)(59), 1980","Zineb",NA
"5284484","guinea pig","LD50","oral","2400 mg/kg","NULL","Pesticide Chemicals Official Compendium, Association of the American Pesticide Control Officials, Inc., 1966., -(923), 1966","Zineb",NA
"5284484","guinea pig","LD50","unreported","3750 mg/kg","NULL","Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases., 32(2)(33), 1988","Zineb",NA
"5284484","chicken","LD50","oral","7660 mg/kg","NULL","Veterinariya.  Veterinary Science., 56(6)(59), 1980","Zineb",NA
"5353758","rat","LD50","skin","1600 mg/kg","NULL","World Review of Pest Control., 9(119), 1970","Methomyl",NA
"5353758","mouse","LD50","oral","10 mg/kg","NULL","Journal of Agricultural and Food Chemistry., 26(550), 1978 [PMID:659709]","Methomyl",NA
"5353758","dog","LD50","oral","20 mg/kg","NULL","Documentation of the Threshold Limit Values and Biological Exposure Indices, 5th ed., Cincinnati, OH, American Conference of Governmental Industrial Hygienists, Inc., 1986, 6(906), 1991","Methomyl",NA
"5353758","monkey","LDLo","oral","40 mg/kg","NULL","Toxicology and Applied Pharmacology., 40(1), 1977 [PMID:867425]","Methomyl",NA
"5353758","rabbit","LD50","skin","5880 mg/kg","NULL","Farm Chemicals Handbook., -(C199), 1991","Methomyl",NA
"5353758","guinea pig","LDLo","oral","15 mg/kg","NULL","Toxicology and Applied Pharmacology., 40(1), 1977 [PMID:867425]","Methomyl",NA
"5353758","pigeon","LD50","oral","10 mg/kg","NULL","ASTM Special Technical Publication., (680)(157), 1979","Methomyl",NA
